AAF91084.1	Q96EP1
AAG44303.1	Q9BXJ1
AAH07932.2	Q7L4P6
AAH32474.1	P58753
AAH01883.1	Q14978
BAA92353.1	Q9UHC1
AAC25955.1	Q9UQB9
AAH48318.1	Q9H1X3
AAG16780.1	O76027
AAD26526.1	Q9Y6M4
AAH60852.1	Q9UIV1
AAF34739.1	O75144
AAA93070.1	Q13243
AAA20398.1	P13224
AAK50430.1	Q8IVG9
BAB14224.1	Q9C0B7
CAG30283.1	Q9ULT6
AAN62764.1	Q8IZD4
BAB55196.1	Q9NTX7
AAH28165.1	O14917
AAH30811.1	O43474
AAG17224.1	Q9UKJ0
AAK15343.1	Q9BXF3
CAA58827.1	Q15543
AAH22328.1	Q16629
BAC11609.1	Q8NBM4
AAH50522.1	Q96FC9
AAH36381.1	Q92540
CAH18258.1	Q9P2P6
BAC04504.1	Q8N1S5
BAD18671.1	Q8IWQ3
AAH52303.1	P98171
BAB15180.1	Q9H6S3
AAA60144.1	P45880
CAA55137.1	Q15131
CAC41349.1	Q5BKT4
BAD18551.1	O95785
AAH30144.2	P49406
AAG30114.1	Q15046
AAH29796.1	Q8N2X6
AAB83973.1	O14787
BAB15625.1	Q9P2K8
AAP34197.1	Q86U86
AAH42753.1	Q86T24
BAA04466.1	P41586
AAL77754.1	Q9UHB4
AAQ03033.1	Q2M3G0
BAC04171.1	Q8N9W6
AAH51301.1	Q15562
CAB57262.1	Q9UJ78
AAH21090.1	Q9Y6U3
AAH16470.1	Q96AY2
AAF12793.3	Q9NZJ7
AAH66644.1	Q6NYC8
BAB69456.1	Q96Q89
AAK55424.1	Q96JA3
BAA11621.1	Q15283
AAC27728.1	Q9HBW0
AAH63840.1	P25440
BAA21667.1	O15194
AAH11957.1	Q14201
AAH02509.1	Q9BUL5
CAA42438.1	P25311
AAK21314.1	Q15532
AAS86434.1	Q674X7
BAC03849.1	Q9NR19
BAB82982.1	P17861
AAM46624.1	Q8NFX7
AAC24200.1	Q7Z569
AAH67364.1	Q6NWY9
AAQ04776.1	O95196
BAD18805.1	Q9BXA6
AAM77571.1	Q8NFM7
BAC04587.1	Q9HCM2
AAQ88852.1	Q7L1S5
BAD36741.1	Q8NCD3
AAH47945.1	Q86WT6
AAA18895.1	Q99250
AAM80487.1	Q8NFI3
BAA89209.1	Q9NRL2
AAO14651.1	Q7Z5K2
AAH37773.1	Q9H7Z6
AAO61140.1	Q9H2L5
AAH09369.1	Q6PK04
BAB16421.1	Q9HCN2
AAH20568.1	Q9H7M9
AAH15733.1	Q9P0U4
AAR26431.1	Q5YKI7
AAH13172.1	Q96DX5
AAH32296.1	Q8N131
AAH53553.1	Q7Z628
CAC79538.1	Q13639
AAQ16198.1	Q58F21
AAB54009.1	Q16836
BAC04299.1	Q8N9N2
AAN76356.1	Q9Y3C4
AAC83687.1	Q9UN79
AAQ89084.1	Q96PB7
