DIPID	UniProtKB AC
DIP-29099N	Q7Z589
DIP-1161N	Q04637
DIP-29106N	P62834
DIP-29113N	Q5T4W7
DIP-29117N	P63086
DIP-29132N	P30101
DIP-29136N	Q5U5U6
DIP-29134N	O75604
DIP-29139N	Q7L804
DIP-29141N	Q9WYW0
DIP-29162N	Q9UNQ0
DIP-29165N	P46109
DIP-29182N	Q99MI6
DIP-29183N	Q8BWF2
DIP-29184N	Q92934
DIP-29185N	O43521
DIP-29187N	P01857
DIP-29188N	Q6ZYL4
DIP-29194N	Q9UKV8
DIP-29193N	Q9UL18
DIP-29196N	Q9Y6X3
DIP-29201N	O60216
DIP-29212N	P03407
DIP-29215N	Q9BXH1
DIP-29216N	P46063
DIP-29218N	P43490
DIP-29231N	O43561
DIP-29240N	P54198
DIP-29242N	Q9NVP2
DIP-29243N	Q13112
DIP-29241N	Q9Y294
DIP-29244N	P33176
DIP-29245N	Q62897
DIP-29252N	Q9P0U3
DIP-29253N	P61956
DIP-29255N	P55854
DIP-29259N	Q00722
DIP-29261N	Q8WYQ5
DIP-29263N	P51795
DIP-29266N	Q15843
DIP-29272N	Q9UQB8
DIP-29274N	P43686
DIP-29273N	Q9Z2X2
DIP-29292N	Q99259
DIP-29293N	Q05329
DIP-486N	P35968
DIP-29295N	P52584
DIP-29296N	P52294
DIP-29306N	Q13526
DIP-29322N	Q9UKG1
DIP-29324N	P25391
DIP-29327N	Q8WUM4
DIP-29335N	Q92973
DIP-29349N	Q9UL25
DIP-29350N	Q15276
DIP-5720N	Q16620
DIP-6024N	P01308
DIP-29365N	P25789
DIP-29381N	Q9NVI1
DIP-29382N	Q9BXW9
DIP-24214N	P51587
DIP-29393N	P03081
DIP-29395N	P67775
DIP-29402N	O75376
DIP-29404N	O15355
DIP-29407N	P09012
DIP-2154N	P26368
DIP-29409N	Q96I25
DIP-29411N	O75533
DIP-29413N	Q9BSI4
DIP-29423N	P54259
DIP-29427N	Q9BXM7
DIP-29310N	P55265
DIP-29432N	P51800
DIP-29451N	Q8WXD2
DIP-29452N	Q99961
DIP-29454N	Q969G2
DIP-29459N	P81877
DIP-29487N	Q9Y2Z4
DIP-29488N	Q0JRZ9
DIP-29493N	P23381
DIP-29496N	P10515
DIP-29497N	Q15118
DIP-355N	Q02297
DIP-29508N	P01344
DIP-29509N	Q06787
DIP-29513N	Q8WTT0
DIP-29516N	Q99683
DIP-29518N	P14780
DIP-29547N	P02751
DIP-29554N	Q9GZM8
DIP-29568N	Q8WXH5
DIP-29569N	O14508
DIP-29541N	Q07813
DIP-29542N	Q99104
DIP-29586N	Q8WUF5
DIP-29590N	Q8VGC3
DIP-29595N	P11172
DIP-29599N	P32233
DIP-29603N	P03230
DIP-29372N	O75164
DIP-29607N	P29972
DIP-29612N	Q5EE38
DIP-29608N	Q91WC1
DIP-29611N	Q96AP0
DIP-29610N	Q9NUX5
DIP-29613N	Q7KZF4
DIP-29615N	Q6UWZ7
DIP-29619N	P02647
DIP-29624N	Q9UPQ9
DIP-29628N	Q9Y468
DIP-29633N	Q9UHB6
DIP-717N	P29083
DIP-29399N	Q60838
DIP-29641N	Q9Y4D1
DIP-29646N	Q16760
DIP-29650N	Q15303
DIP-29651N	Q9Y3M2
DIP-29655N	Q12834
DIP-29653N	Q13257
DIP-29654N	Q9Y6D9
DIP-29660N	O15455
DIP-29667N	P04275
DIP-29676N	Q9UHH9
DIP-29677N	P07823
DIP-29681N	Q29983
DIP-29683N	P99999
DIP-29684N	Q5S007
DIP-29686N	P60709
DIP-29692N	Q9Y5N6
DIP-29689N	Q13416
DIP-29687N	P17096
DIP-29691N	O43913
DIP-29694N	Q8NBP7
DIP-29696N	P53350
DIP-29704N	Q66793
DIP-29713N	P24468
DIP-29712N	P23772
DIP-29714N	Q14643
DIP-24269N	P31749
DIP-29716N	Q15796
DIP-29722N	Q16665
DIP-29724N	P08236
DIP-29725N	Q15046
DIP-29729N	Q12791
DIP-29731N	Q9NZQ7
DIP-29734N	Q01973
DIP-29737N	Q8ML92
DIP-29740N	O95999
DIP-89N	P19338
DIP-29750N	P05455
DIP-29752N	Q9UNE7
DIP-29754N	Q8VIM5
DIP-29755N	P60842
DIP-29759N	O95352
DIP-29758N	Q9H1Y0
DIP-29760N	Q9GZQ8
DIP-29748N	Q9Y6D6
DIP-27569N	P22087
DIP-29774N	P00451
DIP-29778N	Q92831
DIP-27630N	Q13469
DIP-29803N	P07602
DIP-29815N	P46934
DIP-29842N	Q8K3Y6
DIP-29845N	P26651
DIP-29843N	Q92841
DIP-29849N	Q96J02
DIP-29853N	Q12906
DIP-1399N	P38217
DIP-29857N	P35637
DIP-1331N	P32505
DIP-29861N	P31947
DIP-29871N	P15917
DIP-29875N	Q92900
DIP-29876N	P47992
DIP-29882N	Q9UNG2
DIP-29883N	Q9Y5U5
DIP-29884N	O75581
DIP-29890N	P23258
DIP-29047N	Q15545
DIP-29891N	O60563
DIP-29893N	P03204
DIP-29894N	Q9Y676
DIP-29896N	P00742
DIP-29902N	P02768
DIP-29903N	P29122
DIP-29904N	P09958
DIP-29913N	P10997
DIP-29920N	Q92585
DIP-29924N	Q9H444
DIP-29933N	P04156
DIP-29936N	Q96RL1
DIP-29937N	Q9Y265
DIP-29940N	O60936
DIP-29942N	Q99996
DIP-1123N	P18827
DIP-29943N	P34741
DIP-29944N	O75056
DIP-29945N	P31431
DIP-29946N	Q9UJU2
DIP-29947N	P49789
DIP-29948N	Q8TCY5
DIP-29950N	Q53ET0
DIP-29952N	P80188
DIP-29954N	Q05655
DIP-29953N	Q9Y2R2
DIP-29967N	P02687
DIP-1051N	P08631
DIP-6117N	P48357
DIP-29971N	Q16236
DIP-29972N	P17382
DIP-29856N	A6H4P0
DIP-265N	P53618
DIP-29873N	P61923
DIP-29828N	Q14527
DIP-29829N	P61088
DIP-29830N	Q15819
DIP-29831N	Q9NS91
DIP-29832N	P63146
DIP-29915N	Q96L91
DIP-2863N	P10686
DIP-29979N	P49407
DIP-29985N	P35555
DIP-204N	Q05195
DIP-29987N	Q15418
DIP-30845N	Q9H0E2
DIP-30951N	Q14019
DIP-224N	P08575
DIP-31023N	P60896
DIP-31089N	Q9H211
DIP-31016N	Q13153
DIP-31097N	P60953
DIP-31098N	Q9BST9
DIP-31113N	P55884
DIP-31143N	Q9BZI7
DIP-31292N	Q9NPI6
DIP-31309N	Q16637
DIP-31316N	Q9Y376
DIP-431N	P42768
DIP-31350N	Q9HAT8
DIP-31372N	Q9NZL6
DIP-31516N	O95835
DIP-31598N	Q99418
DIP-31711N	O75460
DIP-31733N	O96020
DIP-29688N	Q13415
DIP-24220N	Q92769
DIP-31770N	Q8N2H9
DIP-31349N	Q99836
DIP-32491N	Q13043
DIP-32597N	P46940
DIP-29260N	P63000
DIP-32858N	Q08509
DIP-33300N	Q9NRR4
DIP-33324N	Q9H9A7
DIP-33391N	Q68CP9
DIP-33045N	Q86U86
DIP-29664N	Q9UPY3
DIP-33603N	Q14676
DIP-33604N	P16104
DIP-33875N	Q9HCN6
DIP-34002N	Q15910
DIP-33218N	P38919
DIP-33069N	P61326
DIP-31374N	P10398
DIP-30916N	Q07817
DIP-34049N	Q9P289
DIP-34186N	Q02156
DIP-33238N	P49959
DIP-33878N	P17612
DIP-34544N	Q64096
DIP-33341N	P46527
DIP-34779N	Q92956
DIP-29919N	P46531
DIP-34868N	Q9NYB0
DIP-34929N	P51636
DIP-34937N	P55957
DIP-34977N	O95747
DIP-29761N	P84092
DIP-31093N	P25446
DIP-35054N	P43246
DIP-32972N	P52701
DIP-34587N	Q9UBE0
DIP-31802N	Q07889
DIP-33246N	P52298
DIP-32589N	O43463
DIP-35198N	Q9NZD4
DIP-76N	P19878
DIP-35354N	P37840
DIP-35257N	Q96B01
DIP-29642N	P61586
DIP-31192N	Q6P2E9
DIP-35519N	P03180
DIP-35527N	Q9NWT6
DIP-35444N	O95786
DIP-31289N	Q8IZD4
DIP-35730N	O15273
DIP-36050N	Q76LX8
DIP-36127N	Q9H4B6
DIP-36387N	Q9YGY0
DIP-8N	P04626
DIP-35727N	Q5VST9
DIP-37451N	Q8IYW5
DIP-36614N	Q5FBB7
DIP-36742N	O43157
DIP-36773N	Q01196
DIP-3512N	Q13651
DIP-6223N	Q12933
DIP-29722N	Q16665
DIP-24269N	P31749
DIP-17015N	O43516
DIP-24269N	P31749
DIP-33218N	P38919
DIP-29696N	P53350
DIP-29655N	Q12834
DIP-33603N	Q14676
DIP-33604N	P16104
DIP-125N	P10275
DIP-476N	P08069
DIP-27626N	P98170
DIP-27527N	O14920
DIP-38N	P09874
DIP-331N	P36956
DIP-29327N	Q8WUM4
DIP-31016N	Q13153
DIP-33341N	P46527
DIP-246N	P38936
DIP-246N	P38936
DIP-30916N	Q07817
DIP-29936N	Q96RL1
DIP-924N	P25445
DIP-924N	P25445
DIP-790N	P42345
DIP-29327N	Q8WUM4
DIP-31309N	Q16637
DIP-2196N	P06396
DIP-231N	Q07820
DIP-878N	P49841
DIP-29979N	P49407
DIP-106N	P19838
DIP-5960N	Q03135
DIP-24183N	P30307
DIP-257N	Q09472
DIP-553N	P06239
DIP-1090N	P03129
DIP-29893N	P03204
DIP-24184N	Q13547
DIP-368N	P04637
DIP-582N	P06400
DIP-677N	P35269
DIP-641N	P19793
DIP-29740N	O95999
DIP-24202N	O15350
DIP-29829N	P61088
DIP-24269N	P31749
DIP-790N	P42345
DIP-708N	P32780
DIP-268N	P42574
DIP-29194N	Q9UKV8
DIP-36N	P08047
DIP-33604N	P16104
DIP-231N	Q07820
DIP-29722N	Q16665
DIP-1059N	P12931
DIP-29971N	Q16236
DIP-122N	P35222
DIP-34N	P10276
DIP-397N	P51617
DIP-31097N	P60953
DIP-286N	Q13158
DIP-790N	P42345
DIP-5978N	Q12888
DIP-24171N	Q8N726
DIP-122N	P35222
DIP-34977N	O95747
DIP-24214N	P51587
DIP-27626N	P98170
DIP-1048N	P04049
DIP-29080N	P63165
DIP-163N	P15884
DIP-480N	P06213
DIP-368N	P04637
DIP-34N	P10276
DIP-6222N	Q13114
DIP-6002N	Q05086
DIP-6222N	Q13114
DIP-29327N	Q8WUM4
DIP-29891N	O60563
DIP-1090N	P03129
DIP-24214N	P51587
DIP-139N	P25963
DIP-1043N	P10415
DIP-29084N	Q9UFF9
DIP-24269N	P31749
DIP-29184N	Q92934
DIP-34937N	P55957
DIP-34937N	P55957
DIP-553N	P06239
DIP-31143N	Q9BZI7
DIP-286N	Q13158
DIP-2895N	P01375
DIP-433N	Q13546
DIP-285N	Q15628
DIP-2997N	P48023
DIP-29243N	Q13112
DIP-29201N	O60216
DIP-34868N	Q9NYB0
DIP-29875N	Q92900
DIP-24238N	Q04206
DIP-24203N	O60566
DIP-29760N	Q9GZQ8
DIP-24212N	Q15648
DIP-952N	Q92793
DIP-5960N	Q03135
DIP-24212N	Q15648
DIP-477N	P12830
DIP-405N	P00533
DIP-17014N	P62877
DIP-430N	Q16531
DIP-430N	Q16531
DIP-790N	P42345
DIP-790N	P42345
DIP-6055N	P61769
DIP-29713N	P24468
DIP-29201N	O60216
DIP-380N	P20339
DIP-29774N	P00451
DIP-558N	P09619
DIP-175N	P29466
DIP-29327N	Q8WUM4
DIP-29296N	P52294
DIP-29296N	P52294
DIP-29774N	P00451
DIP-29722N	Q16665
DIP-24269N	P31749
DIP-67N	P17301
DIP-599N	P62873
DIP-32491N	Q13043
DIP-36050N	Q76LX8
DIP-29722N	Q16665
DIP-1136N	P21333
DIP-602N	P04899
DIP-397N	P51617
DIP-27524N	Q15750
DIP-5997N	Q15596
DIP-27526N	O15111
DIP-29080N	P63165
DIP-24267N	P35249
DIP-1059N	P12931
DIP-5965N	P03372
DIP-29053N	Q93009
DIP-8N	P04626
DIP-24184N	Q13547
DIP-24253N	O15379
DIP-24184N	Q13547
DIP-1134N	P49768
DIP-29686N	P60709
DIP-30N	P07737
DIP-29372N	O75164
DIP-31113N	P55884
DIP-31113N	P55884
DIP-5965N	P03372
DIP-29919N	P46531
DIP-30N	P07737
DIP-476N	P08069
DIP-29327N	Q8WUM4
DIP-31113N	P55884
DIP-1059N	P12931
DIP-1134N	P49768
DIP-1134N	P49768
DIP-1134N	P49768
DIP-137N	Q03405
DIP-29327N	Q8WUM4
DIP-27528N	Q9Y6K9
DIP-232N	Q07812
DIP-1134N	P49768
DIP-29694N	Q8NBP7
DIP-29758N	Q9H1Y0
DIP-29758N	Q9H1Y0
DIP-24182N	O14757
DIP-24236N	O00255
DIP-1048N	P04049
DIP-574N	P05067
DIP-74N	P15923
DIP-29016N	P50750
DIP-29016N	P50750
DIP-29188N	Q6ZYL4
DIP-31097N	P60953
DIP-477N	P12830
DIP-29924N	Q9H444
DIP-29092N	O14745
DIP-29924N	Q9H444
DIP-31350N	Q9HAT8
DIP-33341N	P46527
DIP-35354N	P37840
DIP-644N	P18074
DIP-83N	P19447
DIP-786N	Q13888
DIP-29188N	Q6ZYL4
DIP-33069N	P61326
DIP-582N	P06400
DIP-31316N	Q9Y376
DIP-32858N	Q08509
DIP-29253N	P61956
DIP-31097N	P60953
DIP-31N	P13501
DIP-462N	Q06609
DIP-677N	P35269
DIP-462N	Q06609
DIP-56N	P19388
DIP-644N	P18074
DIP-462N	Q06609
DIP-29696N	P53350
DIP-368N	P04637
DIP-33246N	P52298
DIP-641N	P19793
DIP-1098N	P12004
